name,openapi_url,logo_url,description,category,publish_npm
petstore,https://petstore3.swagger.io/api/v3/openapi.json,https://avatars.githubusercontent.com/u/7658037?s=200&v=4,Swagger Petstore sample API,Development,true
chatwoot,https://raw.githubusercontent.com/chatwoot/chatwoot/develop/swagger/swagger.json,https://avatars.githubusercontent.com/u/23416667?s=200&v=4,Chatwoot customer engagement platform,Communication,true
hcloud,https://raw.githubusercontent.com/MaximilianKoestler/hcloud-openapi/main/openapi/hcloud.json,https://avatars.githubusercontent.com/u/30047064?s=200&v=4,Hetzner Cloud API,Infrastructure,true
gitlab,https://gitlab.com/gitlab-org/gitlab/-/raw/master/doc/api/openapi/openapi_v2.yaml,https://upload.wikimedia.org/wikipedia/commons/3/35/GitLab_icon.svg,GitLab DevOps platform,Development,true
curve-finance,https://api.curve.fi/v1/openapi.json,https://cryptologos.cc/logos/curve-dao-token-crv-logo.svg,Curve Finance decentralized exchange protocol for stablecoin swaps with low slippage across multiple blockchains,DeFi,true
raydium,https://api.raydium.io/openapi.json,https://cryptologos.cc/logos/raydium-ray-logo.svg,Raydium automated market maker and liquidity provider on Solana powering swaps farms and token launches,DeFi,true
gmx,https://docs.gmx.io/swagger.json,https://docs.gmx.io/img/logo.svg,GMX decentralized perpetual exchange offering spot and leverage trading with deep liquidity on Arbitrum and Avalanche,DeFi,true
camelot-dex,https://api.camelot.exchange/openapi.json,https://app.camelot.exchange/images/logo-sm.svg,Camelot DEX native Arbitrum decentralized exchange with concentrated liquidity and custom yield strategies,DeFi,true
zapper,https://api.zapper.fi/openapi.json,https://avatars.githubusercontent.com/u/64584890?s=200&v=4,Zapper blockchain portfolio tracker and DeFi dashboard for managing assets across 60+ chains with real-time prices,DeFi,true
nonkyc-exchange,https://api.nonkyc.io/openapi.json,https://nonkyc.io/images/nonkyclogoicon.png,NonKYC privacy-focused cryptocurrency exchange for trading digital assets without identity verification requirements,Exchange,true
ondo-finance,https://docs.ondo.finance/openapi.json,https://avatars.githubusercontent.com/u/79026118?s=200&v=4,Ondo Finance institutional-grade tokenized real-world assets platform bridging traditional finance and DeFi protocols,DeFi,true
cryptal,https://api.cryptal.com/openapi.json,https://assets.coingecko.com/markets/images/1352/large/photo_2023-12-22_16.16.29.jpeg,Licensed cryptocurrency exchange and wallet supporting instant buy sell with Georgian Lari and multiple payment methods,Exchange,true
taostats,https://api.taostats.io/api/openapi.json,https://avatars.githubusercontent.com/u/158452277?s=200&v=4,TaoStats official Bittensor block explorer and analytics platform for staking portfolio tracking and subnet discovery,Analytics,true
swapx,https://api.swapx.fi/api/v1/openapi.json,https://miro.medium.com/v2/resize:fill:96:96/1*DNjwwD7kwIAev57wv1S9Tg.png,SwapX decentralized finance platform for token swaps and liquidity provision across multiple blockchain networks,DeFi,true
binance,https://binance.github.io/binance-api-swagger/spot_api.yaml,https://upload.wikimedia.org/wikipedia/commons/e/e8/Binance_Logo.svg,Binance global cryptocurrency exchange supporting spot futures and margin trading with deep liquidity and advanced order types,Exchange,true
uniswap,https://trade-api.gateway.uniswap.org/v1/api.json,https://upload.wikimedia.org/wikipedia/commons/e/e7/Uniswap_Logo.svg,Uniswap decentralized trading protocol for automated liquidity provision and token swaps across multiple blockchains,DeFi,true
cow-protocol,https://raw.githubusercontent.com/cowprotocol/services/main/crates/orderbook/openapi.yml,https://raw.githubusercontent.com/cowprotocol/cowswap/refs/heads/develop/apps/cow-fi/public/android-chrome-512x512.png,CoW Protocol batch auction DEX aggregator with MEV protection for gasless and secure token swaps across multiple chains,DeFi,true
lifi,https://docs.li.fi/openapi.yaml,https://i.ibb.co.com/996W9pWC/li-fi-favicon.jpg,LI.FI cross-chain swap aggregator bridging multiple DEXs and bridges for optimal routing across 28+ blockchain networks,DeFi,true
odos,https://api.odos.xyz/openapi.json,https://avatars.githubusercontent.com/u/111903360?s=200&v=4,Odos DeFi routing protocol optimizing token swaps by searching millions of paths for the best rates and lowest fees,DeFi,true
1inch,https://raw.githubusercontent.com/1inch/1inch-sdk/main/codegen/openapi/aggregation-openapi.json,https://cryptologos.cc/logos/1inch-1inch-logo.svg,1inch DEX aggregator with Pathfinder routing algorithm accessing 50+ liquidity sources across 12+ blockchain networks for optimal token swaps,DeFi,true
0x,https://raw.githubusercontent.com/0xProject/0x-docs/main/fern/openapi.json,https://avatars.githubusercontent.com/u/24832717?s=200&v=4,0x DEX aggregator providing unified interface for liquidity aggregation token swap pricing and onchain trading across EVM Solana and cross-chain,DeFi,true
0x-cross-chain,https://raw.githubusercontent.com/0xProject/0x-docs/main/fern/openapi-cross-chain.json,https://avatars.githubusercontent.com/u/24832717?s=200&v=4,0x Cross-Chain API for bridging assets across EVM Solana Tron and HyperCore networks with real-time quotes and status tracking,DeFi,true
evolution,https://docs.evoapicloud.com/openapi/viewer.json,https://meta-q.cdn.bubble.io/f1735656025985x589899456761148800/evolution-logo.png,n8n community node for Evolution API,Communication,true
